,ID,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Certification Body,Certification Address,Certification Contact,Species
38,778206,Taiwan,鄉庭有機農場Siang-Ting Organic Farm,2022/02,鄉庭有機農場Siang-Ting Organic Farm,,Taiwan Coffee Laboratory,150-250,壽豐鄉Shoufeng Township,張進義Zhang Jin-Yi,3,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,2022-12-12,Zhang Jin Yi 張進義,Typica,Completed,Washed / Wet,7.92,8.0,7.83,7.92,7.83,7.83,10.0,10.0,10.0,8.0,0.0,85.33,10.8 %,0 full defects,0,Green,0 full defects,2023-12-12,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
39,423394,Ethiopia,YHAENU PLC FARM,1,GUJI COFFEE EXPORT P.L.C,010/0891/00041,yhaenu plc,1700,OROMIA,YHAENU PLC,320,19200 kg,METAD Agricultural Development plc,2021 / 2022,2022-12-12,YHAENU PLC,Ethiopian Heirlooms,Completed,Washed / Wet,7.92,7.75,7.83,8.17,8.0,7.75,10.0,10.0,10.0,7.83,0.0,85.25,9.4 %,0 full defects,1,Greenish,1 full defects,2023-12-12,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",Arabica
40,197220,Taiwan,御香咖啡園 YU SIANG Coffee Estate,2022臺南市精品咖啡評鑑批次,御香咖啡園 YU SIANG Coffee Estate,,Taiwan Coffee Laboratory,650,"Dongshan Dist., Tainan City","陳建源(CHEN, JIAN-YUAN)",20,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,2022-06-08,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10.0,10.0,10.0,7.92,0.0,85.25,11.3 %,0 full defects,0,Green,0 full defects,2023-06-08,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
41,736196,Taiwan,卓武山咖啡農場,"The 2022 Pacific Rim Coffee Summit, T004",卓武山咖啡農場,,Taiwan Coffee Laboratory,1200,Chiayi,許定燁,1,100 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Hsu Ting Yey許定燁,Gesha,Completed,Washed / Wet,8.0,7.92,7.83,7.92,7.83,7.83,10.0,10.0,10.0,7.92,0.0,85.25,9.5 %,0 full defects,0,Bluish-Green,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
42,387213,Kenya,Small Holder,5516,NKG,,IBERO (K) LTD,1600-1900,Central,Small Holder,300,60 kg,Kenya Coffee Traders Association,2022 / 2023,2023-02-28,Judith Murimi,SL28,Completed,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,8.0,0.0,85.25,9.2 %,0 full defects,0,Greenish,1 full defects,2024-02-28,Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621,Arabica
43,259403,Taiwan,皇庭咖啡莊園,202203,yes,non,宸嶧國際有限公司,850,"Caoling , Gukeng Township, Yunlin County",陳榮豐,20,1 kg,Blossom Valley International宸嶧國際,2017 / 2018,2022-10-24,CHEN RONG FENG,Gesha,Completed,Washed / Wet,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,8.0,0.0,85.17,10.3 %,0 full defects,0,Bluish-Green,0 full defects,2023-10-24,Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323,Arabica
44,680121,Taiwan,可納咖啡莊園Ke Na Coffee Mamor,1,可納咖啡莊園Ke Na Coffee Mamor,,Taiwan Coffee Laboratory,1200,"雲林縣古坑鄉 Gukeng Township, Yunlin County","陳慶璋 Chen, Qing-Zhang",4,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,2022-04-06,"CHEN,CING-JHANG 陳慶璋",Typica,Completed,Pulped natural / honey,7.75,7.92,7.75,7.92,8.0,7.92,10.0,10.0,10.0,7.92,0.0,85.17,10.2 %,0 full defects,0,Bluish-Green,2 full defects,2023-04-06,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
45,546930,Taiwan,花蓮縣秀林鄉特用作物（咖啡）產銷第一班Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,2022/01,花蓮縣秀林鄉特用作物（咖啡）產銷第一班Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,,Taiwan Coffee Laboratory,300-500,秀林鄉Show Linxia Township,李志祥 Li Zhi-xia,1,10 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,2022-12-12,Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,8.0,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.92,0.0,85.08,10 %,0 full defects,0,Brownish,0 full defects,2023-12-12,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
46,725808,Taiwan,香夾蘭莊園,A26-Northern Taiwan Specialty Coffee Evaluation,香夾蘭莊園,,Taiwu Coffee Cooperative,800,苗栗縣,黃簡秋蘭,1,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2023-01-06,Taiwu,Gesha,Completed,Washed / Wet,8.0,7.92,7.67,8.0,7.75,7.83,10.0,10.0,10.0,7.92,0.0,85.08,10 %,0 full defects,0,Pale Yellow,5 full defects,2024-01-06,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
47,994657,Taiwan,八一高地,屏東縣三地門鄉德文段,乾燥機、脫殼機,,茂泰生技股份有限公司,1000,台灣屏東,陳科翰,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-12-30,Ethan Lee 李宗儒,Typica,Completed,Washed / Wet,8.0,8.08,7.67,7.75,7.92,7.83,10.0,10.0,10.0,7.83,0.0,85.08,10.5 %,0 full defects,0,greenish,0 full defects,2023-12-30,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
48,952428,Taiwan,愛姬咖啡莊園iGfarm,2021/01,愛姬咖啡莊園iGfarm,,Taiwan Coffee Laboratory,150,壽豐鄉Shoufeng Township,劉孟宗 LIU MENG TSUNG,1,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-12-12,Liu Meng Tsung劉孟宗,Typica,Completed,,7.92,8.0,7.92,8.0,7.58,7.75,10.0,10.0,10.0,7.83,0.0,85.0,10.9 %,0 full defects,0,Green,0 full defects,2023-12-12,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
49,614786,Guatemala,PEÑA BLANCA,11/951/279,BENEFICIO LAS AMERICAS,11/951/279,"OLAM AGRO GUATEMALA, S.A.",4700,Santa Rosa,PABLO CHUY,632,30 kg,Asociacion Nacional Del Café,2022 / 2023,2023-02-23,Yesica Alejandra Martìnez Vàsquez,Catuai,Completed,Washed / Wet,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,7.83,0.0,85.0,11.3 %,0 full defects,0,Green,4 full defects,2024-02-23,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,Arabica
50,280251,Taiwan,青山坪咖啡農場,"The 2022 Pacific Rim Coffee Summit,T011",青山坪咖啡農場,,Taiwan Coffee Laboratory,800,Yunlin,王清連,6,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10.0,10.0,10.0,7.83,0.0,85.0,10.1 %,0 full defects,0,yellow green,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
51,261460,Uganda,Gideon Kule,7938,Dry Mill,11/35,Kyagalanyi Coffee Limited,1905,Rwenzori,Kyagalanyi coffee limited,320,60 kg,Uganda Coffee Development Authority,2021 / 2022,2022-06-29,KYAGALANYI COFFEE LIMITED,SL14,Completed,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.92,10.0,10.0,10.0,7.92,0.0,85.0,11 %,0 full defects,0,Green,1 full defects,2023-06-29,Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Brenda Kamara Kemigisha Mangeni - 256773040119,Arabica
52,599652,Taiwan,六曲窩,A03-Northern Taiwan Specialty Coffee Evaluation,六曲窩,,Taiwu Coffee Cooperative,350-400,新竹縣,黃俊淦,1,13 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2023-01-06,Taiwu,Typica,Completed,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,7.83,0.0,84.92,9.5 %,0 full defects,0,Green,2 full defects,2024-01-06,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
53,647123,Guatemala,san francisco cotzal,11/441/50,"inmobiliaria e inversiones dos mil, s.a.",11/441/50,"inmobiliaria e inversiones dos mil, s.a.",1600,quiche,san francisco cotzal,275,69 kg,Asociacion Nacional Del Café,2021 / 2022,2022-06-22,Angelica Paola Citan Lopez,Caturra,Completed,Washed / Wet,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.92,11.7 %,0 full defects,3,Green,1 full defects,2023-06-22,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,Arabica
54,350205,Indonesia,PT Indo CafCo North Sumatera,016/1513/262,PT Indo CafCo,,InterAmerican Coffee,1200,Aceh Tengah,PT Indo CafCo North Sumatera,320,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,2022-09-23,Charles Umeano,Catimor,Completed,,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.83,11.9 %,0 full defects,3,Bluish-Green,2 full defects,2023-09-23,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Tirza Odermatt - +41 41 728 72 81,Arabica
55,699883,Taiwan,優遊吧斯瑪翡咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T029",優遊吧斯瑪翡咖啡莊園,,Taiwan Coffee Laboratory,1300,Chiayi,鄭虞坪,1,25 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8.0,10.0,10.0,10.0,8.0,0.0,84.83,9.5 %,0 full defects,0,greenish,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
56,680765,Peru,Ruya Yayu Farm,"The 2022 Pacific Rim Coffee Summit,PE02",no.,,Taiwan Coffee Laboratory,1750,Villa Rica,Ruya Yayu,3,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,2022-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,7.75,0.0,84.83,10.7 %,0 full defects,0,greenish,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
57,777610,"Tanzania, United Republic Of",IYENGA,S59588/P03989,CITY COFFEE LTD,0033/0004,VOLCAFE/TaylorWinch Tanzania Ltd,1654,Mbeya,IYENGA AMCOS,620,30 kg,Kenya Coffee Traders Association,2022 / 2023,2022-11-09,Balam Hinyula,Bourbon,Completed,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.83,11.2 %,0 full defects,0,Greenish,0 full defects,2023-11-09,Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621,Arabica
58,541397,Taiwan,北平山林,A23-Northern Taiwan Specialty Coffee Evaluation,北平山林,,Taiwu Coffee Cooperative,230,新竹縣,戴禎男,1,4 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2023-01-06,Taiwu,Yellow Bourbon,Completed,Natural / Dry,8.0,8.0,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.92,0.0,84.83,9.7 %,0 full defects,0,Brownish,0 full defects,2024-01-06,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
59,508075,Brazil,Fazenda Guariroba,FBT111,Wet-Hulling,002-1894-0006,Mirai Seeds Corp.,1100,Campo das Vertentes,Homero Paiva,5,36 kg,Japan Coffee Exchange,2022,2023-02-13,Marcelo Itoh,Yellow Bourbon,Completed,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,7.83,0.0,84.75,11.2 %,0 full defects,1,Green,5 full defects,2024-02-13,Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,Arabica
60,458680,Taiwan,森悅高峰咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T039",森悅高峰咖啡莊園,,Taiwan Coffee Laboratory,1400,Nantou,吳振宏,1,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10.0,10.0,10.0,7.83,0.0,84.75,10.4 %,0 full defects,0,Green,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
61,874548,Taiwan,嵐雲綠海咖啡,屏東縣瑪家鄉,乾燥機、脫殼機,,茂泰生技股份有限公司,1200,台灣屏東,卓榮華,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-12-30,Ethan Lee 李宗儒,Yellow Bourbon,Completed,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,0.0,84.75,10 %,0 full defects,0,Blue-Green,0 full defects,2023-12-30,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
62,214446,Guatemala,SAN RAFAEL URIAS VALDES,11/54876/03,ECO COFFEE,11/54876/03,"VALBROS, S. A.",4895,ANTIGUA GUATEMALA,"VALBROS, S. A.",66,30 kg,Asociacion Nacional Del Café,2021 / 2022,2022-05-19,Angelica Paola Citan Lopez,Bourbon,Completed,Natural / Dry,7.83,8.0,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.83,0.0,84.67,10.9 %,0 full defects,3,yellow-green,2 full defects,2023-05-19,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,Arabica
63,917862,Taiwan,名陽園,"The 2022 Pacific Rim Coffee Summit,T042",名陽園,,Taiwan Coffee Laboratory,1450,Chiayi,王政淵,1,104 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Natural / Dry,7.83,8.0,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.92,0.0,84.58,10.3 %,0 full defects,0,Green,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
64,940597,Taiwan,大鋤花間(Dachu Coffee Estate),2022臺南市精品咖啡評鑑批次,大鋤花間(Dachu Coffee Estate),,Taiwan Coffee Laboratory,700,"( Dongshan Dist., Tainan City)","郭雅聰（KUO,YA-TSUNG）",16,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,2022-06-08,"KUO, YA-TSUNG",Gesha,Completed,Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,7.67,10.0,10.0,10.0,7.75,0.0,84.58,11.5 %,0 full defects,0,Green,0 full defects,2023-06-08,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
65,240429,Taiwan,羅馬8號莊園,A11-Northern Taiwan Specialty Coffee Evaluation,羅馬8號莊園,,Taiwu Coffee Cooperative,200-300,新竹縣,羅政宏,1,16 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2023-01-06,Taiwu,Typica,Completed,Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.58,9.6 %,0 full defects,0,Greenish,0 full defects,2024-01-06,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
66,797281,Vietnam,CupnCare,"The 2022 Pacific Rim Coffee Summit,VN02",CupnCare,,Taiwan Coffee Laboratory,650,Quang Tri,TONG PHUC LAM TRADING SERVICES COMPANY LIMITED,3,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,Catimor,Completed,Natural / Dry,8.0,7.83,7.75,7.67,7.58,7.83,10.0,10.0,10.0,7.92,0.0,84.58,11.6 %,0 full defects,0,brownish,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
67,210044,Nicaragua,Finca Las Dos Marias,10 1.1,"Compare Coperativo Condega, Esteli, Nicaragua",,NicaNoLA Coffee,1350,ESTELI,NicaNoLA Coffee,74,45 kg,Specialty Coffee Association,2021 / 2022,2022-06-09,rene j alcebo,Catrenic,Completed,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,10.0,10.0,10.0,8.0,0.0,84.58,9.9 %,1 full defects,0,Green,2 full defects,2023-06-09,Specialty Coffee Association,*CURRENTLY NOT ACCEPTING SAMPLES**,Brit Amell (CQI) - bamell@coffeeinstitute.org -,Arabica
68,695532,Taiwan,雅慕伊咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T036",雅慕伊咖啡莊園,,Taiwan Coffee Laboratory,1250,Chiayi,浦瀚文,1,80 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Pu Han Wen,Gesha,Completed,Washed / Wet,8.08,7.83,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.92,0.0,84.58,11.2 %,0 full defects,0,Green,2 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
69,439097,Taiwan,917農場 (917 Farm),2021/11,917農場 (917 Farm),,Taiwan Coffee Laboratory,400,玉里鎮Yuli Township,黃怡瑄 Huang Yi-xuan,1,20 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-12-12,黃怡瑄,Typica,Completed,Natural / Dry,8.08,7.92,7.75,7.83,7.5,7.58,10.0,10.0,10.0,7.83,0.0,84.5,10.2 %,0 full defects,0,Green,0 full defects,2023-12-12,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
70,760524,Taiwan,苗55咖啡莊園,A37-Northern Taiwan Specialty Coffee Evaluation,苗55咖啡莊園,,Taiwu Coffee Cooperative,520,苗栗縣,李鴻儀,1,300 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2023-01-06,Taiwu,unknown,Completed,Pulped natural / honey,7.75,7.92,7.83,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.5,11.3 %,0 full defects,0,Bluish-Green,0 full defects,2024-01-06,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
71,741289,Costa Rica,La Cumbre,CQU2022018,La Montana Tarrazu MIll,,Coffee Quality Union,1900,"Los Santos,Tarrazu",Santa Maria de Dota,1,22 kg,Japan Coffee Exchange,2022,2022-10-04,Coffee Quality Union,Gesha,Completed,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.5,11.7 %,0 full defects,1,Green,0 full defects,2023-10-04,Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,Arabica
72,409732,Ethiopia,TRACON TRADING PLC,0712,5.2Ha,010/0148/0712,Tracon Trading PLC,1943,Ethiopia,TRACON TRADING PLC,584,30 kg,Blossom Valley International宸嶧國際,2021 / 2022,2022-08-23,李晓斐 LI XIAO FEI,Ethiopian Heirlooms,Completed,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,7.83,0.0,84.5,10.9 %,0 full defects,0,Green,9 full defects,2023-08-23,Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323,Arabica
73,231824,Taiwan,百勝村咖啡莊園Baishengcun Coffee Farm,3,百勝村咖啡莊園Baishengcun Coffee Farm,,Taiwan Coffee Laboratory,900,"南投縣國姓鄉 Guoxing Township, Nantou County",蘇晉寬 Leon Su,2,20 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,2022-04-06,Leon Su 蘇晉寬,Gesha,Completed,Washed / Wet,7.67,7.67,7.67,7.83,8.0,7.75,10.0,10.0,10.0,7.83,0.0,84.42,10.2 %,0 full defects,0,Bluish-Green,3 full defects,2023-04-06,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
74,231917,Taiwan,皇庭咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T031",皇庭咖啡莊園,,Taiwan Coffee Laboratory,850,Yunlin,陳榮豐,1,100 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,7.83,8.0,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,0.0,84.42,10.1 %,0 full defects,0,Bluish-Green,1 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
75,510790,Ethiopia,Bisrat Melaku Washing Station,0065,Washing Station,010/ 0218/0065,Tadesse Desta import export,2361,Addis Ababa,Bisrat Melaku,320,60 kg,METAD Agricultural Development plc,2021 / 2022,2022-09-19,Tadesse Desta,Ethiopian Heirlooms,Completed,Natural / Dry,7.83,7.75,7.58,7.92,8.0,7.5,10.0,10.0,10.0,7.75,0.0,84.33,11 %,0 full defects,5,Yellow Green,4 full defects,2023-09-19,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",Arabica
76,489089,United States (Hawaii),Miranda's Farm,Islander’s Coffee for Pacific Rim Summit,Greenwell,,Taiwan Coffee Laboratory,1300,Ka'u district of Big Island,Jose & Berta Miranda,10,10 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,2022-11-09,Taiwan Coffee Laboratory 台灣咖啡研究室,Catuai,Completed,Washed / Wet,7.92,7.83,7.75,7.92,7.5,7.67,10.0,10.0,10.0,7.75,0.0,84.33,10.1 %,3 full defects,0,Yellow-green,7 full defects,2023-11-09,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
